location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2851582,"Marrakech-Residence Mima","pm25",12.467857094038097,"µg/m³","2026-02-21T07:00:00Z","2026-02-21T07:00:00Z","Africa/Casablanca",31.660974,-8.027883,,,,"campus","AirGradient"
2851582,"Marrakech-Residence Mima","pm25",13.041071439073198,"µg/m³","2026-02-21T08:00:00Z","2026-02-21T08:00:00Z","Africa/Casablanca",31.660974,-8.027883,,,,"campus","AirGradient"
2851582,"Marrakech-Residence Mima","pm25",20.79538698139645,"µg/m³","2026-02-21T09:00:00Z","2026-02-21T09:00:00Z","Africa/Casablanca",31.660974,-8.027883,,,,"campus","AirGradient"
2851582,"Marrakech-Residence Mima","pm25",14.735833329813824,"µg/m³","2026-02-21T10:00:00Z","2026-02-21T10:00:00Z","Africa/Casablanca",31.660974,-8.027883,,,,"campus","AirGradient"
2851582,"Marrakech-Residence Mima","pm25",13.044146837223144,"µg/m³","2026-02-21T11:00:00Z","2026-02-21T11:00:00Z","Africa/Casablanca",31.660974,-8.027883,,,,"campus","AirGradient"
2851582,"Marrakech-Residence Mima","pm25",10.51324413267393,"µg/m³","2026-02-21T12:00:00Z","2026-02-21T12:00:00Z","Africa/Casablanca",31.660974,-8.027883,,,,"campus","AirGradient"
2851582,"Marrakech-Residence Mima","pm25",7.52872025328023,"µg/m³","2026-02-21T13:00:00Z","2026-02-21T13:00:00Z","Africa/Casablanca",31.660974,-8.027883,,,,"campus","AirGradient"
2851582,"Marrakech-Residence Mima","pm25",4.599404755092803,"µg/m³","2026-02-21T14:00:00Z","2026-02-21T14:00:00Z","Africa/Casablanca",31.660974,-8.027883,,,,"campus","AirGradient"
2851582,"Marrakech-Residence Mima","pm25",3.2261904706912374,"µg/m³","2026-02-21T15:00:00Z","2026-02-21T15:00:00Z","Africa/Casablanca",31.660974,-8.027883,,,,"campus","AirGradient"
2851582,"Marrakech-Residence Mima","pm25",2.4313988086013563,"µg/m³","2026-02-21T16:00:00Z","2026-02-21T16:00:00Z","Africa/Casablanca",31.660974,-8.027883,,,,"campus","AirGradient"
